246	-3	20	38	192	78
221	-3	20	38	116	52
150	-3	20	38	61	47
78	-3	20	38	51	47
52	-3	20	38	47	47
66	-3	53	15	162	412
100	-3	53	15	350	471
231	-3	53	15	450	477
412	-3	53	15	475	477
471	-3	53	15	482	478
266	-9	88	52	384	595
329	-9	88	52	536	642
465	-9	88	52	625	636
595	-9	88	52	633	642
642	-9	88	52	639	660
371	-9	49	51	359	354
371	-9	49	51	359	361
359	-9	49	51	354	354
354	-9	49	51	358	349
361	-9	49	51	354	347
733	-9	88	74	769	833
764	-9	88	74	820	862
794	-9	88	74	848	871
833	-9	88	74	861	881
862	-6	88	74	866	881
386	-2	61	37	436	571
404	-2	61	37	525	617
482	-2	61	37	603	631
571	-2	61	37	625	635
617	-2	61	37	634	633
254	-8	40	46	240	213
249	-8	40	46	220	203
229	-8	40	46	203	205
213	-8	40	46	203	207
203	-8	40	46	207	208
583	-8	78	76	601	605
601	-8	78	76	617	624
604	-8	78	76	620	624
605	-8	78	76	624	612
624	-8	78	76	621	609
705	-11	82	99	658	552
682	-11	82	99	589	533
629	-11	82	99	538	533
552	-11	82	99	528	530
533	-11	82	99	530	528
658	4	20	60	542	295
606	4	20	60	371	223
463	4	20	60	238	209
295	4	20	60	209	210
223	4	20	60	211	210
270	3	24	39	225	123
254	3	24	39	148	104
195	3	24	39	114	108
123	3	24	39	104	99
104	3	24	39	104	104
134	1	51	12	251	469
186	1	51	12	399	523
327	1	51	12	507	544
469	1	51	12	533	549
523	1	51	12	554	544
192	5	14	18	172	142
182	5	14	18	146	136
160	5	14	18	137	137
142	5	14	18	137	141
136	5	14	18	136	137
66	1	46	19	133	308
94	1	46	19	260	341
179	1	46	19	331	352
308	1	46	19	347	347
341	1	46	19	352	352
671	-12	74	94	612	500
645	-12	74	94	533	478
571	-12	74	94	488	473
500	-12	74	94	478	459
478	-12	74	94	459	454
433	10	69	37	538	711
481	10	69	37	657	753
600	10	69	37	747	770
711	10	69	37	767	763
753	10	69	37	765	763
103	-2	10	26	53	0
82	-2	10	26	17	0
34	-2	10	26	-4	0
0	-2	10	26	0	0
0	-2	10	26	0	0
0	-2	11	11	24	78
9	-2	21	11	57	92
43	-2	21	11	88	98
78	-2	21	11	92	95
92	-2	21	11	95	95
106	-7	33	31	110	122
111	-7	33	31	115	116
115	-7	33	31	121	118
122	-7	33	31	116	116
121	-7	33	31	118	116
271	-7	47	52	264	232
273	-7	47	52	245	223
254	-7	47	52	228	223
232	-7	47	52	223	217
223	-7	47	52	218	212
361	-4	55	36	425	528
392	-4	55	36	502	542
459	-4	55	36	538	547
528	-4	55	36	542	547
542	-4	55	36	547	555
684	0	36	66	600	428
645	0	36	66	487	366
547	0	36	66	392	352
428	1	36	66	361	357
371	3	36	66	357	361
457	-2	26	60	366	161
425	-2	26	60	232	104
304	-2	26	60	109	100
161	-2	26	60	100	100
104	-2	26	60	100	100
803	-2	98	90	835	874
816	-2	98	90	859	884
853	-2	98	90	883	886
874	-2	98	90	880	885
884	-2	98	90	885	875
753	3	73	71	749	744
751	3	73	71	746	754
741	3	73	71	744	757
744	3	73	71	762	757
754	3	73	71	758	750
566	7	95	55	663	868
611	7	95	55	821	915
720	7	95	55	901	928
868	7	95	55	929	943
915	7	95	55	943	957
933	7	94	99	924	890
933	7	94	99	910	885
937	7	94	99	885	885
890	7	94	99	894	889
885	7	94	99	885	885
890	7	87	92	875	843
884	7	87	92	856	839
857	7	87	92	844	830
843	7	87	92	839	819
839	7	87	92	825	823
816	7	44	77	717	535
772	7	44	77	580	466
657	7	44	77	471	469
535	7	44	77	468	469
466	7	44	77	469	457
397	9	18	36	340	232
373	9	18	36	270	216
308	9	18	36	219	215
232	9	18	36	215	209
216	9	18	36	211	210
290	9	26	35	260	211
277	9	26	35	222	195
241	9	26	35	201	192
211	9	26	35	195	187
195	9	26	35	187	193
124	9	39	11	214	420
159	9	39	11	373	433
274	9	39	11	433	425
420	9	39	11	425	430
433	9	39	11	422	430
161	4	33	28	180	222
170	4	33	28	213	231
190	4	33	28	226	228
222	4	33	28	232	237
231	4	33	28	236	237
357	-9	55	65	317	253
341	-9	55	65	276	240
299	-9	55	65	239	239
253	-9	55	65	239	242
240	-9	55	65	238	244
500	7	65	47	560	668
531	7	65	47	631	693
593	7	65	47	684	698
668	7	65	47	698	690
693	7	65	47	685	695
728	7	74	78	725	698
737	7	74	78	719	693
719	7	74	78	690	707
698	7	74	78	700	715
693	7	74	78	711	715
731	3	52	82	623	466
705	3	52	82	503	423
565	3	52	82	438	419
466	3	52	82	419	414
423	3	52	82	414	419
705	3	63	68	692	675
695	3	63	68	680	664
689	3	63	68	670	647
675	3	63	68	652	642
664	3	63	68	638	647
305	3	57	36	373	490
338	3	57	36	457	519
414	3	57	36	507	516
490	3	57	36	516	524
519	3	57	36	521	529
448	-11	52	75	385	249
418	-11	52	75	290	209
342	-11	52	75	228	204
249	-11	52	75	209	201
209	-11	52	75	200	203
598	-10	48	65	557	452
579	-10	48	65	490	423
524	-10	48	65	438	423
452	-10	48	65	428	433
423	-10	48	65	423	433
668	6	93	62	730	875
701	6	93	62	832	928
761	6	93	62	909	933
875	6	93	62	943	928
928	6	93	62	938	923
414	6	53	40	443	513
431	6	53	40	482	534
471	6	53	40	527	533
513	6	53	40	534	536
534	6	53	40	530	536
248	9	51	22	363	529
305	9	51	22	471	556
419	9	51	22	544	565
529	9	51	22	560	557
556	9	51	22	559	547
529	-11	83	83	531	519
536	-11	81	83	520	514
531	-11	81	83	509	514
519	-11	81	83	514	512
514	-11	81	83	509	502
723	-7	95	75	776	899
748	-7	95	75	871	938
820	-7	95	75	909	938
899	-7	95	75	929	933
938	-7	95	75	943	942
718	-5	45	75	647	440
694	-5	45	75	489	409
588	-5	45	75	419	404
440	-5	45	75	409	399
409	-5	45	75	404	396
816	-5	93	95	817	814
822	-5	93	95	810	804
817	-5	93	95	800	795
814	-5	93	95	801	790
804	-5	93	95	795	790
932	-5	95	99	932	904
938	-5	95	99	919	895
928	-5	95	99	894	885
904	-5	95	99	872	885
895	-5	95	99	881	880
770	-5	66	85	713	610
747	-5	66	85	640	578
678	-5	66	85	591	565
610	-5	66	85	572	582
578	-5	66	85	575	574
